"Currency","Position","Probability","Odds","Meets Criterion","File"
EURUSD,long,0.38731990766591395,2.727272727272727,true,usdcad-2017-277-04.json
EURUSD,long,0.39606039616396105,2.6,true,usdchf-2017-280-06.json
EURUSD,long,0.39665335585415706,3,true,audusd-2017-266-03.json
EURUSD,long,0.39843819158651655,2.5833333333333335,true,eurusd-2017-256-03.json
EURUSD,long,0.39845882866873683,3.8333333333333335,true,gbpusd-2017-270-06.json
EURUSD,long,0.3986834002638649,2.6,true,eurusd-2017-272-01.json
EURUSD,long,0.3995279462418541,3.7142857142857144,true,nzdusd-2017-267-03.json
EURUSD,long,0.40131899707336144,3,true,usdjpy-2017-253-11.json
EURUSD,long,0.4027011599983293,2.7777777777777777,true,eurusd-2017-270-12.json
EURUSD,long,0.40335488550459886,3.8333333333333335,true,nzdusd-2017-280-07.json
EURUSD,long,0.40365767988858975,2.7142857142857144,true,usdjpy-2017-280-12.json
EURUSD,long,0.404444362663061,2.8181818181818183,true,audusd-2017-256-11.json
EURUSD,long,0.4063333417163134,3.5714285714285716,true,usdjpy-2017-258-10.json
EURUSD,long,0.41066360075173924,2.7142857142857144,true,nzdusd-2017-268-02.json
EURUSD,long,0.41216184056142974,2.875,true,audusd-2017-267-05.json
EURUSD,long,0.4146603679977261,2.5454545454545454,true,nzdusd-2017-276-12.json
EURUSD,long,0.4148264591143641,2.8,true,usdchf-2017-281-02.json
EURUSD,long,0.4149467926357097,2.625,true,audusd-2017-273-01.json
EURUSD,long,0.4197105726189424,2.25,false,usdjpy-2017-251-04.json
EURUSD,long,0.4199405326428045,2.4545454545454546,true,usdchf-2017-273-05.json
EURUSD,long,0.42195834366464824,2.5,true,usdcad-2017-268-11.json
EURUSD,long,0.42223987379720485,2.466666666666667,true,audusd-2017-278-08.json
EURUSD,long,0.4223382275691166,2.6666666666666665,true,usdcad-2017-264-11.json
EURUSD,long,0.4229983364347048,2.4615384615384617,true,audusd-2017-252-05.json
EURUSD,long,0.42377136748245603,4.333333333333333,true,usdchf-2017-280-12.json
EURUSD,long,0.42402079795764663,2.25,false,usdchf-2017-278-01.json
EURUSD,long,0.4243414551053911,2.6363636363636362,true,usdchf-2017-259-06.json
EURUSD,long,0.42556379141145895,2.6666666666666665,true,gbpusd-2017-271-03.json
EURUSD,long,0.4305402021986525,2.25,false,eurusd-2017-271-03.json
EURUSD,long,0.43093642140281574,2.6923076923076925,true,usdjpy-2017-272-01.json
EURUSD,long,0.4310103281308717,2.2,false,eurusd-2017-270-04.json
EURUSD,long,0.43203214077914276,2.7142857142857144,true,nzdusd-2017-262-12.json
EURUSD,long,0.4321722009660625,2.3636363636363638,true,eurusd-2017-257-05.json
EURUSD,long,0.43283263274783523,2.3846153846153846,true,usdjpy-2017-273-12.json
EURUSD,long,0.4343362179171225,2.1333333333333333,false,usdcad-2017-259-11.json
EURUSD,long,0.43613275763694626,2.4,true,usdcad-2017-265-06.json
EURUSD,long,0.4379416434252066,3,true,nzdusd-2017-273-07.json
EURUSD,long,0.438130080736784,2.75,true,usdjpy-2017-270-07.json
EURUSD,long,0.4382635276844519,2.4,true,usdchf-2017-258-07.json
EURUSD,long,0.4396318428366359,2.3333333333333335,true,gbpusd-2017-266-11.json
EURUSD,long,0.43966125111501786,2.0588235294117645,false,usdchf-2017-257-06.json
EURUSD,long,0.4412359461139283,3.75,true,nzdusd-2017-276-09.json
EURUSD,long,0.44142917608493226,2.1538461538461537,false,usdchf-2017-277-02.json
EURUSD,long,0.441645039239062,2.857142857142857,true,usdchf-2017-264-01.json
EURUSD,long,0.4419253103389207,2.6,true,eurusd-2017-277-08.json
EURUSD,long,0.442653308161953,2.909090909090909,true,usdchf-2017-253-04.json
EURUSD,long,0.4433330655212054,3.4444444444444446,true,usdcad-2017-260-07.json
EURUSD,long,0.4433335295351356,2.4166666666666665,true,usdchf-2017-280-09.json
